date,content_type,theme,day_of_week,hour,hook,likes,comments,saved,shares,reach,views,interactions,engagement_rate,hashtag_count,caption_word_count,url
2024-10-20,carousel,Seller / move-up equity,Sunday,16,🏡✨ Here are 7 reasons why hiring a real estate agent makes all the difference if you are thinking about buying or selling your home.,2,0,0,1,64,128,3,0.0469,7,144,https://www.instagram.com/p/DBWj_XTsAGI/
2024-10-19,reel,Buyer / first-time / financing,Saturday,22,Looking to score a lower interest rate? Let’s talk about the options available to help you save big on your mortgage! 💬🏡 #MortgageSavings #InterestRateTips #HomeBuyingJourney #AtlantaRealEstate,2,0,0,0,149,178,2,0.0134,4,26,https://www.instagram.com/reel/DBUm1sUvoQT/
2024-10-18,carousel,Buyer / first-time / financing,Friday,17,"⭐⭐⭐⭐⭐ ""Diana was very proactive and always looking out for her clients. Would definitely work with her again.""",11,1,0,0,50,95,12,0.24,10,223,https://www.instagram.com/p/DBRjSiwJj3I/
2024-10-16,reel,Buyer / first-time / financing,Wednesday,17,🚨OPEN HOUSE ALERT🚨,4,1,1,0,198,323,6,0.0303,0,133,https://www.instagram.com/reel/DBMVIJ3PJ3t/
2024-10-16,static,Seller / move-up equity,Wednesday,21,"As much as you’ve loved your home, isn’t it time to upgrade to something that fits your new dreams and lifestyle? ✨ Whether it’s more space, a better view, or a neighborhood that feels more like you, ",1,0,0,0,29,64,1,0.0345,4,350,https://www.instagram.com/p/DBM1BzntU_9/
2024-10-15,static,Personal / behind the scenes,Tuesday,13,Two things will ALWAYS have my focus: meeting my clients' needs and sharpening my skills so that I can show up as the best version of myself. 🏡✨,11,0,0,0,45,131,11,0.2444,5,140,https://www.instagram.com/p/DBJZir8spPT/
2024-10-14,reel,Seller / move-up equity,Monday,14,"For me, real estate is about more than just transactions—it’s about transformation. ✨ I’ve seen firsthand how finding the right home or making the right investment can change lives, create stability, ",10,0,0,1,201,357,11,0.0547,3,106,https://www.instagram.com/reel/DBG61WCJ5F3/
2024-10-13,reel,Seller / move-up equity,Sunday,17,"Buying and selling a home is easy, if you have the right agent. 🏡✨ Every home has its quirks. Where others see challenges, I see opportunities. Whether it's transforming a unique space (😉) into a home",2,0,0,0,25,59,2,0.08,5,171,https://www.instagram.com/reel/DBEmwPcs44q/
2024-10-12,reel,Buyer / first-time / financing,Saturday,20,3 Myths About Down Payment Assistance BUSTED! 💥🏡,10,0,0,1,226,358,11,0.0487,5,161,https://www.instagram.com/reel/DBCcJSWPvnz/
2024-10-12,reel,Find Home Anywhere (global series),Saturday,18,"Whether it’s the breathtaking views of Lookout Mountain or the charm of the Tennessee River, Chattanooga offers more than just a place to live—it’s a community that feels like home. 🏡✨ From outdoor ad",5,0,0,0,140,176,5,0.0357,3,77,https://www.instagram.com/reel/DBCJ_TNPMdc/
2024-10-11,reel,Humor / relatable,Friday,18,Did you know 🫨????,6,1,6,3,2089,2309,16,0.0077,0,4,https://www.instagram.com/reel/DA_lbDuPLFl/
2024-10-11,reel,Find Home Anywhere (global series),Friday,14,"Fall is in the air, and while Atlanta is amazing (and always will be), let’s think bigger. 🍂✨ From the stunning coastlines of California to the vibrant streets of New York, the United States offers so",5,0,0,1,68,89,6,0.0882,6,230,https://www.instagram.com/reel/DA_ODdPCiKZ/
2024-10-10,reel,Buyer / first-time / financing,Thursday,18,"Maintaining a positive mindset during your home search is crucial for your well-being and success. 🏡✨ In honor of World Mental Health Day, here are some tips to help you stay focused and upbeat along ",2,0,0,0,51,78,2,0.0392,4,227,https://www.instagram.com/reel/DA8_Yi7g6NZ/
2024-10-09,static,Buyer / first-time / financing,Wednesday,20,"For as hard as you work, and as much as you're paying for a place to live, you should at least have a place to call your own, right? 😅 Buying a home doesn’t have to feel overwhelming! 🏡✨ Here are 9 si",2,0,1,2,90,129,5,0.0556,4,306,https://www.instagram.com/p/DA6rgG3MJpi/
2024-10-08,reel,Buyer / first-time / financing,Tuesday,19,My commitment is simple 🫡…,3,1,0,0,47,68,4,0.0851,3,138,https://www.instagram.com/reel/DA39qHLvOnB/
2024-10-07,carousel,Seller / move-up equity,Monday,17,✨ Big News! ✨,15,4,0,0,46,70,19,0.413,6,147,https://www.instagram.com/p/DA1KGnhsf0o/
2024-08-28,carousel,Buyer / first-time / financing,Wednesday,20,How it’s going vs how it started…,13,2,1,1,136,219,17,0.125,2,107,https://www.instagram.com/p/C_OhR6LviR7/
2024-08-20,static,Market stats / education,Tuesday,19,A life update from your favorite ATL REALTOR… I know it’s been a minute but I promise we’ll be back soon 💕. I’m excited about what’s next… whatever that might be. 🫡.,8,2,0,0,68,87,10,0.1471,0,43,https://www.instagram.com/p/C-534yJPlKt/
2024-07-19,carousel,Seller / move-up equity,Friday,20,Asya Darling *Edna Voice* CONGRATULATIONS 🍾🎊!!! You’re a homeowner!!,41,0,0,1,264,360,42,0.1591,0,156,https://www.instagram.com/p/C9nga_uvZYH/
2024-05-15,reel,Uncategorized,Wednesday,13,Have you ever wondered what $15 million in Atlanta real estate looks like? Me either 🫣…,10,1,1,0,196,219,12,0.0612,2,22,https://www.instagram.com/reel/C6_Xw6nO7Gy/
2024-04-19,carousel,Market stats / education,Friday,16,"Nothing brings me more joy than seeing my childhood friends take their first steps as real estate investors. From playing in the sandbox to now making big moves in the housing market, I am so proud of",258,35,5,25,1102,1541,323,0.2931,4,84,https://www.instagram.com/p/C58y97dLWm4/
2024-04-18,reel,Seller / move-up equity,Thursday,18,Let’s talk about it:,6,2,0,1,279,314,9,0.0323,5,236,https://www.instagram.com/reel/C56X_kQvVPm/
2024-04-16,reel,Uncategorized,Tuesday,14,"No matter where you are in your real estate journey, my team has unique solutions to help you make that next big step. Whatever it might be, reach out and let me see what we can do for you!",19,0,0,3,798,866,22,0.0276,2,71,https://www.instagram.com/reel/C503Gbjuu76/
2024-04-14,reel,Market stats / education,Sunday,12,Here are 10 lesser-known neighborhoods in Atlanta that have the potential for equity growth:,5,1,2,3,1236,1212,11,0.0089,2,261,https://www.instagram.com/reel/C5veLzKO6HK/
